network,augment,GlobalPool,units_1,batch_norm,dropout,optim,lr,score
EfficientNet,soft,True,896,False,0.1,adam,0.005955173578983001,0.718095242977142
EfficientNet,soft,False,640,True,0.1,adam,0.0017687355322910001,0.6952381134033201
EfficientNet,medium,True,832,True,0.30000000000000004,sgd,0.0019247294495420002,0.7219047546386711
EfficientNet,hard,False,960,True,0.1,adam,0.00255760614889,0.67428570985794
EfficientNet,medium,True,576,False,0.4,sgd,0.009125719892127,0.718095242977142
EfficientNet,medium,True,640,False,0.5,sgd,0.00786396493322,0.6819047331809991
EfficientNet,hard,False,576,False,0.4,adam,0.001480099375435,0.643809497356414
EfficientNet,medium,True,832,False,0.30000000000000004,adam,0.0030242699456600004,0.7219047546386711
EfficientNet,medium,True,704,True,0.5,adam,0.005338155237551,0.6895238161087031
EfficientNet,medium,False,640,False,0.30000000000000004,adam,0.008077496316206,0.5142857432365411
EfficientNet,hard,True,768,False,0.1,adam,0.0011339841580980002,0.697142839431762
EfficientNet,soft,True,512,True,0.30000000000000004,adam,0.001221377276121,0.720000028610229
EfficientNet,medium,False,640,True,0.5,sgd,0.0036662257907610005,0.727619051933288
EfficientNet,soft,False,768,True,0.5,adam,0.0016752699519390001,0.700952410697937
EfficientNet,medium,True,896,False,0.30000000000000004,sgd,0.004538010095862,0.676190495491027
