network,augment,GlobalPool,units_1,batch_norm,dropout,optim,lr,score
VGG,hard,,1152,False,0.30000000000000004,sgd,0.00047316168412300005,0.5847619175910951
VGG,medium,,512,True,0.1,sgd,0.002948111895566,0.582857131958007
VGG,medium,,1152,False,0.1,sgd,0.0035073911812330003,0.6152380704879761
VGG,hard,,128,False,0.1,adam,0.0038803956106590004,0.6152380704879761
VGG,hard,,384,False,0.5,adam,0.0006297302598860001,0.6114285588264461
VGG,soft,,640,True,0.1,sgd,0.004630405710017001,0.7295238375663751
VGG,hard,,768,True,0.5,adam,0.0030906537787870002,0.565714299678802
VGG,soft,,1280,False,0.1,sgd,0.001696699936437,0.7790476083755491
VGG,soft,,640,True,0.2,sgd,0.0032983680002040003,0.706666648387908
VGG,soft,,896,False,0.2,adam,0.0019948025636820003,0.7523809671401971
VGG,soft,,1152,True,0.4,adam,0.001026763434492,0.740952372550964
VGG,medium,,640,True,0.2,adam,0.0025649879863580004,0.577142834663391
VGG,medium,,1280,False,0.5,sgd,0.004871348493521,0.596190452575683
VGG,hard,,896,False,0.1,sgd,0.0026924141549040004,0.6019047498703001
VGG,soft,,256,False,0.30000000000000004,adam,0.00014753564438100002,0.706666648387908
VGG,hard,,768,False,0.5,sgd,0.0008966429089510001,0.5714285969734191
VGG,medium,,640,True,0.5,sgd,0.001357984526707,0.582857131958007
VGG,medium,,640,True,0.4,adam,0.00039983921243000005,0.586666643619537
VGG,soft,,1280,True,0.1,sgd,0.0009398861046890001,0.763809502124786
VGG,soft,,1280,False,0.1,adam,0.00044769613496500004,0.7961905002593991
